#      step        H        error
572            -0.42586          0.00329371
573            -0.43572          0.00315646
574           -0.435785          0.00285375
575           -0.432483          0.00323606
576           -0.422443          0.00373633
577           -0.426666           0.0031403
578           -0.433348          0.00297262
579           -0.431716          0.00323532
580           -0.425931          0.00340707
581           -0.426833          0.00397097
582           -0.431004          0.00329843
583           -0.428321          0.00349537
584           -0.429568          0.00288399
585           -0.425621          0.00381522
586           -0.427486          0.00356737
587           -0.431848          0.00332948
588           -0.429722          0.00299884
589           -0.414622          0.00409219
590           -0.415139          0.00333373
591           -0.421268          0.00463065
592           -0.429682          0.00297614
593             -0.4199          0.00365357
594            -0.43704          0.00329966
595           -0.427544          0.00302549
596           -0.437334          0.00306823
597           -0.430206          0.00376977
598           -0.433302           0.0030379
599           -0.433744          0.00334946
600           -0.437375          0.00318825
601           -0.437425          0.00304519
602           -0.430422          0.00330748
603           -0.422846          0.00307687
604           -0.436339          0.00244262
605           -0.434663          0.00251492
606           -0.419194          0.00362012
607           -0.433107          0.00322141
608           -0.427687          0.00410803
609           -0.424883          0.00347583
610           -0.440527           0.0027769
611           -0.432655          0.00239073
612           -0.427255          0.00317624
613           -0.435497          0.00230765
614             -0.4302          0.00252074
615           -0.429738          0.00317849
616           -0.433893          0.00318384
617            -0.43208          0.00227198
618           -0.432187          0.00228446
619            -0.42528          0.00263834
620           -0.430458          0.00281199
621           -0.419083          0.00326569
622           -0.435786          0.00233193
623           -0.421013          0.00330983
624           -0.429501          0.00255681
625            -0.42755          0.00348156
626           -0.427769          0.00295062
627           -0.434611          0.00209263
628           -0.434035          0.00212873
629           -0.429815          0.00245364
630           -0.427722          0.00266736
631           -0.431292          0.00290601
632           -0.429119          0.00246081
633           -0.420504          0.00272933
634           -0.420625          0.00257357
635           -0.407318          0.00306667
636           -0.426666          0.00306508
637           -0.429599          0.00282773
638           -0.427628          0.00361424
639           -0.413474          0.00382922
640           -0.423407          0.00394328
641           -0.431752           0.0027959
642           -0.420526          0.00380061
643           -0.426295          0.00312197
644           -0.416158            0.003501
645           -0.414507          0.00369396
646           -0.425066          0.00254509
647           -0.429943          0.00219349
648           -0.422341          0.00253642
649           -0.422454          0.00267155
650           -0.422607          0.00292155
651           -0.414595          0.00385667
652           -0.408665          0.00326807
653           -0.413928          0.00316332
654           -0.414055          0.00398008
655           -0.418676          0.00311363
656           -0.416962          0.00296482
657           -0.405145          0.00316918
658           -0.417358          0.00336655
659           -0.419552          0.00291577
660           -0.410816          0.00271391
661           -0.422943          0.00369772
662            -0.42877          0.00254309
663           -0.411176          0.00299369
664           -0.430532          0.00241599
665           -0.416809          0.00232701
666           -0.421115          0.00354837
667           -0.430214          0.00255929
668           -0.433267          0.00304659
669           -0.437537          0.00255777
670           -0.440053           0.0027811
671           -0.430708          0.00269125
672           -0.433678          0.00253096
673           -0.419348          0.00283481
674           -0.433377          0.00307576
675           -0.432862           0.0035632
676           -0.442592          0.00238194
677           -0.437364          0.00302541
678           -0.440965          0.00245343
679            -0.43719          0.00259626
680           -0.439916          0.00220319
681           -0.437605          0.00333839
682           -0.441353          0.00257587
683           -0.442494          0.00250331
684           -0.439871          0.00300632
685           -0.443791          0.00262994
686           -0.436765          0.00315218
687           -0.441087          0.00299923
688           -0.447764           0.0025072
689           -0.430729          0.00298362
690           -0.452474          0.00220234
691           -0.438236          0.00327118
692           -0.422871          0.00467631
693           -0.426928          0.00356512
694           -0.432035          0.00369963
695            -0.42761          0.00365574
696           -0.436041          0.00351923
697           -0.425045          0.00419963
698           -0.427119          0.00394646
699           -0.432331          0.00307728
700           -0.430853          0.00392709
701           -0.422087          0.00458749
