#      step        mu        sigma
760            0.779642            0.575298
761            0.776788            0.586116
762             0.76546            0.572685
763             0.75361            0.583326
764            0.754924            0.578685
765            0.765954            0.580133
766            0.762318            0.584218
767            0.750389            0.588959
768            0.748997            0.583954
769            0.752693              0.5874
770            0.749121            0.616819
771             0.74602             0.62051
772            0.751163            0.618137
773            0.757422            0.606711
774             0.74976            0.601674
775            0.763781            0.597467
776            0.745906            0.597033
777             0.74749            0.595951
778            0.748843            0.611562
779             0.75947            0.626192
780            0.757216            0.629086
781            0.760214            0.631687
782            0.756162            0.606681
783            0.747087            0.613298
784             0.72516            0.617081
785            0.725895            0.619756
786             0.71534            0.610908
787            0.728798            0.601117
788            0.720536            0.596445
789            0.723324            0.604512
790            0.718417            0.613478
791            0.712515            0.601992
792            0.699694            0.618084
793            0.713219            0.615439
794            0.694548            0.607029
795            0.712247            0.619496
796            0.710711            0.623434
797            0.720912            0.622319
798            0.717232            0.623838
799             0.71682            0.644364
800            0.716687            0.652863
801            0.723184            0.662249
802            0.741724            0.657609
803            0.738127             0.65175
804            0.724185            0.656056
805             0.71437            0.631683
806            0.720099            0.631541
807            0.704718            0.648427
808            0.729255            0.635304
809            0.732033             0.63299
810            0.741564            0.639409
811            0.747609            0.622379
812            0.746776            0.608731
813            0.751342            0.607768
814             0.74552            0.605035
815            0.749124            0.591617
816            0.758243            0.590768
817            0.757311            0.595856
818            0.746424            0.577028
819            0.772011            0.590383
820            0.789503             0.59535
821            0.781133            0.586975
822            0.769376            0.595252
823            0.761733            0.581752
824             0.76024            0.597841
825             0.75523             0.58943
826            0.746749            0.597154
827            0.734597             0.61323
828            0.732638            0.613641
829            0.740101            0.604512
830            0.739006            0.607487
831            0.738512            0.622397
832            0.747177            0.628313
833            0.762204             0.63469
834            0.758071            0.632067
835            0.756021             0.62347
836            0.759087            0.627189
837            0.752758            0.623392
838            0.751804            0.622304
839            0.755971            0.630721
840            0.737459            0.622501
841            0.755926            0.640934
842            0.757799            0.640683
843            0.751294            0.650358
844            0.739258            0.658262
845            0.746155            0.656902
846            0.740747            0.668434
847            0.734934            0.680974
848            0.739956            0.692377
849            0.741492            0.679667
850            0.735106            0.659088
851            0.730647            0.650628
852            0.730746            0.652994
853            0.742756            0.647673
854            0.719527            0.650462
855            0.730213             0.66634
856            0.740659             0.66219
857            0.750395            0.649367
858            0.751641            0.650386
859            0.761505            0.653578
860            0.754831            0.644561
861            0.738328            0.683947
862            0.747181            0.648329
863            0.749297            0.653451
864            0.740182            0.650593
865            0.741652            0.642296
866            0.742318            0.641516
867            0.729958            0.624191
868            0.717344            0.608873
869            0.725994            0.606488
870            0.735805            0.611987
871            0.747826            0.611651
872            0.770032            0.612148
873            0.759692            0.601341
874            0.767637            0.597564
875            0.770488            0.596247
876             0.78899            0.601744
877            0.798668            0.604742
878            0.801369            0.607332
879            0.827144            0.606175
880            0.831699            0.609955
881             0.83689             0.61455
882            0.832996            0.610048
883            0.833446            0.610388
884             0.83727            0.614676
885            0.842065            0.618196
886            0.850473            0.623605
887            0.849275            0.626269
888             0.86438            0.646198
889            0.819911            0.622026
890            0.808258            0.615117
891            0.794845            0.602728
892            0.794621            0.606999
893            0.798942            0.600711
894            0.781544            0.595083
895             0.79613            0.586197
896            0.781136             0.59419
897            0.779833              0.5967
898            0.774354            0.589581
899             0.76712            0.589652
