#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         415     -0.2696   -0.459003  0.00609597
         416      -0.352   -0.458746  0.00608674
         417     -0.5936    -0.45907  0.00608073
         418     -0.4344   -0.459011  0.00606647
         419     -0.6792   -0.459536  0.00607471
         420     -0.4368   -0.459482  0.00606049
         421     -0.4384   -0.459432   0.0060463
         422      -0.356   -0.459187  0.00603694
         423     -0.4344   -0.459128  0.00602295
         424     -0.4344    -0.45907  0.00600903
         425     -0.5136   -0.459198  0.00599626
         426     -0.5144   -0.459328  0.00598358
         427       -0.28   -0.458908  0.00598429
         428       -0.36   -0.458677  0.00597477
         429     -0.3568   -0.458439  0.00596556
         430     -0.1976   -0.457833  0.00598244
         431     -0.5952   -0.458151  0.00597705
         432     -0.6744   -0.458652  0.00598414
         433     -0.3584    -0.45842  0.00597479
         434     -0.4408    -0.45838  0.00596117
         435     -0.6048   -0.458716  0.00595696
         436     -0.4448   -0.458684  0.00594338
         437      -0.364   -0.458468  0.00593373
         438     -0.4432   -0.458433  0.00592028
         439      -0.364   -0.458218   0.0059107
         440     -0.3656   -0.458007  0.00590102
         441      -0.448   -0.457985  0.00588768
         442      -0.448   -0.457962   0.0058744
         443     -0.6072   -0.458299  0.00587079
         444     -0.4416   -0.458261  0.00585769
         445     -0.6008   -0.458582  0.00585328
         446     -0.4408   -0.458542  0.00584029
         447     -0.5184   -0.458676  0.00582876
         448     -0.4416   -0.458638  0.00581587
         449     -0.2856   -0.458252  0.00581568
         450     -0.3632   -0.458041  0.00580659
         451     -0.5248   -0.458189   0.0057956
         452     -0.3616   -0.457975  0.00578671
         453     -0.3616   -0.457762  0.00577785
         454     -0.4392   -0.457722  0.00576527
         455     -0.5968   -0.458027  0.00576069
         456     -0.4384   -0.457984  0.00574822
         457     -0.5992   -0.458293  0.00574394
         458     -0.7536   -0.458938  0.00576748
         459     -0.5936   -0.459231  0.00576237
         460     -0.5936   -0.459523  0.00575724
         461     -0.5152   -0.459644  0.00574602
         462      -0.356    -0.45942  0.00573796
         463     -0.3576     -0.4592  0.00572978
         464     -0.5208   -0.459333  0.00571897
         465     -0.6008   -0.459637  0.00571476
         466      -0.208   -0.459097  0.00572795
         467      -0.524   -0.459236  0.00571737
         468     -0.2824   -0.458858  0.00571762
         469       -0.36   -0.458647  0.00570932
         470     -0.3552   -0.458427  0.00570141
         471      -0.428   -0.458363  0.00568967
         472     -0.4328   -0.458308  0.00567787
         473     -0.6712   -0.458759  0.00568368
         474     -0.5976   -0.459051  0.00567923
         475     -0.3592   -0.458841  0.00567117
         476     -0.4432   -0.458808  0.00565935
         477     -0.3616   -0.458605  0.00565115
         478     -0.2808   -0.458233  0.00565156
         479     -0.4416   -0.458198  0.00563987
         480     -0.2808   -0.457828  0.00564021
         481     -0.3552   -0.457615  0.00563252
         482     -0.2808   -0.457248  0.00563277
         483     -0.4368   -0.457206  0.00562127
         484     -0.3616   -0.457008  0.00561312
         485     -0.5256    -0.45715  0.00560333
         486     -0.5272   -0.457294  0.00559365
         487     -0.4424   -0.457263  0.00558225
         488     -0.2808   -0.456902  0.00558251
         489     -0.5208   -0.457032  0.00557262
         490     -0.3616   -0.456838  0.00556465
         491     -0.3576   -0.456635  0.00555699
         492     -0.5176   -0.456759  0.00554708
         493       -0.44   -0.456725  0.00553593
         494     -0.4416   -0.456695  0.00552481
         495     -0.4472   -0.456676  0.00551368
         496     -0.4456   -0.456653  0.00550261
         497     -0.4392   -0.456618  0.00549165
         498     -0.1192   -0.455941  0.00552226
         499     -0.3592   -0.455747   0.0055146
         500      -0.276   -0.455387  0.00551527
         501     -0.2016   -0.454881  0.00552748
         502     -0.3584   -0.454688  0.00551981
         503       -0.36     -0.4545  0.00551204
         504     -0.4368   -0.454465  0.00550122
         505     -0.5928   -0.454739  0.00549714
         506      -0.596   -0.455018  0.00549336
         507     -0.4368   -0.454982  0.00548264
         508     -0.6736   -0.455413  0.00548871
         509     -0.4328   -0.455368  0.00547811
         510     -0.5128   -0.455481  0.00546853
         511     -0.5952   -0.455754  0.00546466
         512     -0.5936   -0.456023  0.00546061
         513      -0.672   -0.456444  0.00546617
         514      -0.436   -0.456405  0.00545568
         515        -0.2   -0.455907  0.00546776
         516     -0.3528   -0.455707  0.00546081
         517       -0.44   -0.455677  0.00545033
         518      -0.284   -0.455345  0.00544988
         519     -0.5288   -0.455487  0.00544122
         520     -0.6104   -0.455785   0.0054389
         521     -0.6912   -0.456236   0.0054472
         522     -0.6112   -0.456533  0.00544485
         523     -0.7704   -0.457133  0.00546741
         524     -0.6896   -0.457577  0.00547494
         525      -0.528   -0.457711  0.00546616
         526     -0.5296   -0.457848  0.00545748
         527     -0.5296   -0.457984  0.00544882
         528     -0.3656   -0.457809  0.00544131
         529     -0.2776   -0.457468  0.00544167
         530     -0.4384   -0.457432  0.00543153
         531     -0.3576   -0.457244  0.00542455
         532     -0.5936   -0.457501   0.0054204
         533     -0.1152   -0.456859  0.00544815
         534     -0.3592   -0.456676  0.00544101
         535      -0.436   -0.456637  0.00543098
         536     -0.4376   -0.456601  0.00542096
         537     -0.3544   -0.456411  0.00541421
         538      -0.196   -0.455927  0.00542574
         539     -0.2792   -0.455599  0.00542557
         540     -0.4424   -0.455575  0.00541558
         541      -0.524   -0.455701  0.00540704
         542      -0.604   -0.455975  0.00540399
         543     -0.3624   -0.455803  0.00539678
         544     -0.4416   -0.455776  0.00538692
         545     -0.4416    -0.45575   0.0053771
         546     -0.2808    -0.45543  0.00537679
         547      -0.364   -0.455263  0.00536956
         548      -0.524   -0.455388  0.00536123
         549     -0.2856   -0.455079  0.00536038
         550     -0.5264   -0.455209   0.0053522
         551     -0.2024    -0.45475  0.00536211
         552     -0.6848   -0.455167  0.00536857
