#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         638       -0.08  0.00394984  0.00863948
         639        -0.2  0.00363067  0.00863186
         640       -0.16    0.003375  0.00862216
         641           0  0.00336973  0.00860871
         642        -0.2  0.00305296  0.00860112
         643       -0.12  0.00286159  0.00858988
         644       -0.08  0.00273292   0.0085775
         645       -0.16  0.00248062  0.00856791
         646           0  0.00247678  0.00855465
         647        0.16  0.00272025  0.00854489
         648        0.04  0.00277778   0.0085319
         649        0.28  0.00320493  0.00852944
         650        0.48  0.00393846   0.0085478
         651        0.72   0.0050384  0.00860515
         652         0.8  0.00625767   0.0086779
         653        0.56  0.00710567  0.00870595
         654         0.6  0.00801223  0.00873971
         655        0.52  0.00879389  0.00876125
         656         0.6  0.00969512  0.00879413
         657        0.24   0.0100457  0.00878772
         658        0.12   0.0102128  0.00877596
         659        0.12   0.0103794  0.00876422
         660        0.16   0.0106061  0.00875387
         661        0.36   0.0111346  0.00875657
         662        0.28   0.0115408  0.00875276
         663           0   0.0115234  0.00873958
         664       -0.08   0.0113855   0.0087275
         665           0   0.0113684  0.00871439
         666           0   0.0113514  0.00870133
         667       -0.04   0.0112744  0.00868862
         668        0.04   0.0113174  0.00867572
         669       -0.08   0.0111809  0.00866383
         670        0.04   0.0112239    0.008651
         671         0.2   0.0115052  0.00864268
         672        0.28   0.0119048  0.00863905
         673         0.2   0.0121842  0.00863073
         674        0.24   0.0125223  0.00862455
         675        0.16   0.0127407  0.00861454
         676        0.24   0.0130769  0.00860835
         677        0.36   0.0135894  0.00861087
         678         0.2   0.0138643  0.00860256
         679         0.2   0.0141384  0.00859426
         680       -0.04   0.0140588  0.00858199
         681       -0.04   0.0139794  0.00856975
         682       -0.04   0.0139003  0.00855755
         683       -0.08   0.0137628  0.00854613
         684       -0.08   0.0136257  0.00853473
         685       -0.08   0.0134891  0.00852337
         686       -0.16   0.0132362  0.00851469
         687       -0.04   0.0131587  0.00850265
         688       -0.08   0.0130233  0.00849137
         689       -0.12   0.0128302  0.00848124
         690       -0.16   0.0125797  0.00847265
         691       -0.16     0.01233  0.00846407
         692       -0.24   0.0119653  0.00845969
         693        -0.2   0.0116595  0.00845301
         694        -0.2   0.0113545  0.00844633
         695        0.24   0.0116835  0.00844058
         696         0.2    0.011954  0.00843279
         697        0.32    0.012396  0.00843226
         698        0.36    0.012894  0.00843487
         699        0.56   0.0136767  0.00845904
         700        0.56   0.0144571  0.00848289
         701        0.64   0.0153495  0.00851759
         702         0.4   0.0158974  0.00852307
         703        0.24   0.0162162   0.0085169
         704        0.04     0.01625  0.00850487
         705           0    0.016227  0.00849284
         706       -0.12    0.016034    0.008483
         707       -0.16    0.015785  0.00847465
         708       -0.04   0.0157062  0.00846305
         709           0   0.0156841  0.00845114
         710        0.12    0.015831  0.00844052
         711        0.36    0.016315  0.00844252
         712        0.28   0.0166854  0.00843878
         713        0.16   0.0168864  0.00842933
         714       -0.08   0.0167507  0.00841862
         715        0.04   0.0167832  0.00840691
         716        0.24    0.017095  0.00840095
         717        0.32   0.0175174  0.00839984
         718        0.44   0.0181058  0.00840873
         719        0.28   0.0184701  0.00840492
         720         0.4       0.019  0.00840993
         721        0.28    0.019362  0.00840606
         722         0.2   0.0196122  0.00839814
         723        0.28   0.0199723  0.00839424
         724        0.36    0.020442  0.00839577
         725        0.24   0.0207448  0.00838965
