#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         707        0.64     1.27564   0.0715612
         708        0.04      1.2739   0.0714814
         709           0      1.2721   0.0714032
         710        0.36     1.27082   0.0713141
         711        3.24     1.27359   0.0712676
         712        1.96     1.27455    0.071174
         713        0.64     1.27366   0.0710798
         714        0.16      1.2721   0.0709973
         715        0.04     1.27038   0.0709189
         716        1.44     1.27061   0.0708203
         717        2.56     1.27241   0.0707443
         718        4.84     1.27738   0.0708201
         719        1.96     1.27833    0.070728
         720           4     1.28211   0.0707307
         721        1.96     1.28305   0.0706388
         722           1     1.28266   0.0705421
         723        1.96      1.2836   0.0704507
         724        3.24      1.2863   0.0704052
         725        1.44     1.28651   0.0703084
         726        0.36     1.28523   0.0702232
         727        0.16     1.28369   0.0701436
         728        1.44      1.2839   0.0700476
         729        1.96     1.28483   0.0699577
         730        4.84      1.2897   0.0700311
         731        0.36     1.28843   0.0699469
         732        1.96     1.28934   0.0698573
         733           1     1.28895   0.0697631
         734           1     1.28856   0.0696692
         735        3.24     1.29121    0.069625
         736        0.64     1.29033    0.069536
         737        1.44     1.29053    0.069442
         738        3.24     1.29317   0.0693981
         739        0.64     1.29229   0.0693098
         740        0.64     1.29141   0.0692218
         741           0     1.28966   0.0691503
         742           1     1.28927   0.0690582
         743        1.44     1.28948   0.0689655
         744        0.16     1.28796   0.0688895
         745        0.16     1.28644   0.0688137
         746           1     1.28606   0.0687225
         747           1     1.28568   0.0686316
         748        0.36     1.28444    0.068551
         749        0.04     1.28278   0.0684796
         750        0.04     1.28112   0.0684084
         751        0.04     1.27947   0.0683372
         752        1.96     1.28037   0.0682523
         753        1.44     1.28058    0.068162
         754           1     1.28021   0.0680727
         755           1     1.27984   0.0679835
         756           4     1.28344   0.0679887
         757           1     1.28306   0.0678999
         758        0.64     1.28222   0.0678157
         759           1     1.28184   0.0677273
         760           1     1.28147   0.0676392
         761        0.36     1.28026   0.0675612
         762        0.36     1.27906   0.0674833
         763        0.04     1.27743   0.0674144
         764        0.64      1.2766   0.0673313
         765        1.44     1.27681   0.0672437
         766           0     1.27514   0.0671765
         767        0.36     1.27395   0.0670995
         768        0.64     1.27312   0.0670173
         769        0.36     1.27194   0.0669406
         770        0.16     1.27049   0.0668693
         771        0.64     1.26968   0.0667875
         772        0.36      1.2685   0.0667114
         773           4     1.27203   0.0667186
         774           4     1.27556   0.0667255
         775        1.96     1.27644   0.0666452
         776        1.44     1.27665   0.0665597
         777        2.56      1.2783   0.0664945
         778        0.04     1.27671   0.0664281
         779        0.16     1.27528   0.0663583
         780           1     1.27492   0.0662741
         781        0.16      1.2735   0.0662046
         782           0     1.27187     0.06614
         783        0.04     1.27029   0.0660742
         784           1     1.26995   0.0659909
         785        1.44     1.27017   0.0659072
         786           1     1.26982   0.0658242
         787        0.64     1.26902   0.0657454
         788        0.64     1.26822   0.0656668
         789        0.04     1.26667   0.0656021
         790           1     1.26633   0.0655199
         791        0.36     1.26518   0.0654471
         792           0     1.26359   0.0653839
         793        0.36     1.26245   0.0653114
         794           0     1.26086   0.0652485
         795        0.16     1.25947   0.0651811
         796        1.44      1.2597   0.0650996
         797           4     1.26314   0.0651087
         798           4     1.26657   0.0651174
         799        4.84     1.27104   0.0651893
         800        1.44     1.27125   0.0651081
         801        0.16     1.26986   0.0650416
         802        0.36     1.26873   0.0649704
